"dyadidyr","ccode_1","ccode_2","year","stateabb_1","majpow_1","numGPs","numstates","milex_1","milper_1","irst_1","pec_1","tpop_1","upop_1","cap_1","stateabb_2","majpow_2","milex_2","milper_2","irst_2","pec_2","tpop_2","upop_2","cap_2","dyad","conttype","colcont","alliance","distance"
200150859,200,150,1859,"UKG",1,5,44,24324,315,3773,75908,28591,5509,0.290498465299606,"PAR",0,-9,8,0,0,439,0,0.000728879298549145,NA,0,0,0,10216.666015625
200155883,200,155,1883,"UKG",1,6,36,24410,239,8666,144374,35450,9834,0.211378619074821,"CHL",0,413,16,0,143,2408,256,0.00256443256512284,NA,0,0,0,11685.4248046875
200155891,200,155,1891,"UKG",1,6,38,29742,281,7525,158759,37802,11419,0.178374618291855,"CHL",0,-9,9,0,189,2627,346,0.00228100316599011,NA,0,0,0,11685.4248046875
200155948,200,155,1948,"UKG",1,4,72,3438984,847,15116,233072,50026,18852,0.0754260048270226,"CHL",0,71415,36,30,2244,5831,933,0.00205324776470661,NA,0,0,0,11685.4248046875
200155996,200,155,1996,"UKG",1,7,187,35266000,221,17992,367380,58801,52148,0.0240547303110361,"CHL",0,2038000,102,1178,28512,14419,8459,0.00305344397202134,NA,0,0,0,11685.4248046875
200160842,200,160,1842,"UKG",1,5,35,10836,184,1080,42193,27004,3808,0.297635167837143,"ARG",0,298,-9,0,21,671,103,0.00315907201729715,NA,0,0,0,11147.4765625
200160843,200,160,1843,"UKG",1,5,36,10581,158,1220,44151,27256,3891,0.298597097396851,"ARG",0,239,-9,0,22,700,104,0.00300126662477851,NA,0,0,0,11147.4765625
200160845,200,160,1845,"UKG",1,5,36,11869,178,2200,48618,27776,4065,0.318205058574677,"ARG",0,238,-9,0,31,759,106,0.0029713346157223,NA,0,0,0,11147.4765625
200160846,200,160,1846,"UKG",1,5,37,13117,191,2210,50672,28002,4154,0.302888244390488,"ARG",0,199,-9,0,29,790,108,0.00272824894636869,NA,0,0,0,11147.4765625
200160880,200,160,1880,"UKG",1,6,37,21448,248,7873,131039,34623,9229,0.218470811843872,"ARG",0,784,9,0,392,2457,272,0.00299340067431331,NA,0,0,0,11147.4765625
200160976,200,160,1976,"UKG",1,5,151,11076590,337,22274,349764,56216,35000,0.027410002425313,"ARG",0,571428,155,2244,53816,26458,10451,0.00584988435730338,NA,0,0,0,11147.4765625
200160982,200,160,1982,"UKG",1,5,159,24169041,335,13704,309737,56318,35501,0.0237278509885073,"ARG",0,4147000,175,2752,62916,28966,12460,0.00681017711758614,NA,0,0,0,11147.4765625
200160983,200,160,1983,"UKG",1,5,160,24873196,333,14986,312818,56377,35754,0.0236157178878784,"ARG",0,2337872,175,2828,63979,29412,12655,0.00635453639551997,NA,0,0,0,11147.4765625
200160012,200,160,2012,"UKG",1,7,195,61274000,174,9579,317447,62783,28933,0.015242263674736,"ARG",0,4858000,73,4995,129627,41087,24928,0.0056348848156631,NA,0,0,0,11147.4765625
200165939,200,165,1939,"UKG",1,7,65,7895671,394,13433,219686,47762,18429,0.0996836498379707,"URU",0,3571,9,0,40,1950,583,0.0007999706431292,NA,0,0,0,11057.873046875
200210831,200,210,1831,"UKG",1,5,29,8903,150,600,30981,24135,2849,0.29890975356102,"NTH",0,3431,80,0,543,2707,203,0.022987361997366,200210,4,1,0,360.315032958984
200210832,200,210,1832,"UKG",1,5,29,9332,145,630,31503,24373,2926,0.300770342350006,"NTH",0,3763,38,0,590,2738,204,0.0215611103922129,200210,4,1,0,360.315032958984
200210833,200,210,1833,"UKG",1,5,29,8184,144,730,32261,24602,3006,0.303455501794815,"NTH",0,3012,38,0,573,2750,205,0.0197830218821764,200210,4,1,0,360.315032958984
200210914,200,210,1914,"UKG",1,8,45,1678843,532,7971,213992,46048,17852,0.137909442186356,"NTH",0,7849,41,0,9848,6280,1503,0.00580208329483867,200210,4,1,0,360.315032958984
200210939,200,210,1939,"UKG",1,7,65,7895671,394,13433,219686,47762,18429,0.0996836498379707,"NTH",0,114233,47,110,15428,8780,2284,0.00536200450733304,200210,4,1,0,360.315032958984
200220831,200,220,1831,"UKG",1,5,29,8903,150,600,30981,24135,2849,0.29890975356102,"FRN",1,18174,373,225,2341,32570,1052,0.149949952960014,200220,3,1,0,342.947479248047
200220888,200,220,1888,"UKG",1,6,38,27136,273,8127,147484,36881,10796,0.188650563359261,"FRN",1,35068,569,1683,32522,38290,4256,0.0934992656111717,200220,3,1,0,342.947479248047
200220893,200,220,1893,"UKG",1,6,38,29824,294,7089,139713,38490,11854,0.170393109321594,"FRN",1,35917,610,2003,36203,38380,4660,0.0946154221892357,200220,3,1,0,342.947479248047
200220896,200,220,1896,"UKG",1,7,39,35253,315,8799,165596,39599,12538,0.173657432198524,"FRN",1,36062,613,2340,39890,38550,4793,0.0904130935668945,200220,3,1,0,342.947479248047
200220897,200,220,1897,"UKG",1,7,39,35187,319,8937,170127,39987,12775,0.165821269154549,"FRN",1,37421,623,2484,41754,38700,4899,0.0869356095790863,200220,3,1,0,342.947479248047
200220898,200,220,1898,"UKG",1,8,40,38741,331,8748,170616,40381,13017,0.157431319355965,"FRN",1,37337,654,2525,43216,38820,5008,0.0821318328380585,200220,3,1,0,342.947479248047
200220940,200,220,1940,"UKG",1,7,62,9948329,1020,13183,232740,48226,18502,0.0949571430683136,"FRN",1,5707762,5000,4413,56951,41000,6422,0.0758349299430847,200220,3,1,1,342.947479248047
200220941,200,220,1941,"UKG",1,6,55,11280839,2300,12510,228173,48216,18579,0.0992547199130058,"FRN",0,605022,373,4310,48138,8000,2381,0.0157879497855902,NA,0,1,0,342.947479248047
200220942,200,220,1942,"UKG",1,6,53,13478623,3390,13150,224075,48400,18601,0.093587227165699,"FRN",0,742009,-9,4488,49025,8000,2381,0.015556113794446,NA,0,1,0,342.947479248047
200225940,200,225,1940,"UKG",1,7,62,9948329,1020,13183,232740,48226,18502,0.0949571430683136,"SWZ",0,48633,650,40,4073,4226,744,0.00643678475171328,NA,0,0,0,748.711730957031
200230873,200,230,1873,"UKG",1,6,33,20867,252,6671,117821,32177,7688,0.232455402612686,"SPN",0,10056,100,43,1325,16030,781,0.0239106174558401,NA,0,1,0,1263.37878417969
200230940,200,230,1940,"UKG",1,7,62,9948329,1020,13183,232740,48226,18502,0.0949571430683136,"SPN",0,87621,531,804,9570,25760,4832,0.0124734239652753,NA,0,1,0,1263.37878417969
200230969,200,230,1969,"UKG",1,5,133,5489866,390,26822,330825,55461,22407,0.0309197437018156,"SPN",0,280639,365,5981,61024,33427,10648,0.0101968012750149,NA,0,1,0,1263.37878417969
